Platform,Symbol,Position Type,Entry Price,Mark Price,Leverage,Position Mode,Amount,PnL $,PnL %,Unrealized PnL %,Unrealized PnL $,Margin Size ($),Liquidation Price,Side (LONG/SHORT),SL (Stop Loss),TP (Take Profit),Distance to TP (%),Distance to SL (%),TP Set?,SL Set?,TP Price,SL Price,Risk-to-Reward Ratio,Trend Status,Risk Flag (New),Entry Timestamp,Initial Margin ($),Maintenance Margin ($),Notional Value ($),Margin % of Portfolio,TP/SL Status,Risk Flag
BingX,APE-USDT,Rotation,0.6296,0.6470,8.0,Isolated,651,11.3371,2.69,22.11,11.328,52.65,0.5562,LONG,0.62,0.72,1.13,-4.17,✅,✅,0.7200,0.6200,2.7,Sideways,OK,2025-07-26 10:28 AM CST,,,,5.29,🟢 Both TP & SL set,✅ Managed Risk
BingX,ETH-USDT,Rotation,3601.80,3874.21,10.0,Isolated,1.41,384.0977,7.03,75.63,384.09,546.26,3269.97,LONG,0.0,3975.0,0.26,0.0,✅,❌,3975.00,0,N/A,Uptrend,High Risk,2025-07-18 01:04 PM CST,,,,54.86,🟡 Only TP set,🚨 HIGH RISK - No SL
BingX,WIF-USDT,Rotation,1.0110,1.1391,10.0,Isolated,436.50,55.9334,11.25,126.71,55.917,49.72,0.9234,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Uptrend,OK,2025-07-18 04:37 PM CST,,,,4.99,🔴 Neither set,⚠️ No Stop Loss
BingX,XRP-USDT,Rotation,1.6341,3.2670,10.0,Isolated,824,1345.4619,49.98,999.27,1345.515,269.2,1.6538,LONG,0.0,13.0,29.79,0.0,✅,❌,13.0000,0,N/A,Uptrend,High Risk,2024-11-28 09:10 PM CST,,,,27.03,🟡 Only TP set,🚨 HIGH RISK - No SL
BingX,DEGEN-USDT,Rotation,0.004008,0.004388,10.0,Isolated,159156.1,60.4000,8.65,94.81,60.479,69.85,0.003647,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Uptrend,OK,2025-07-27 12:02 PM CST,,,,7.01,🔴 Neither set,⚠️ No Stop Loss
Blofin,ADA/USDT:USDT,Rotation,0.7499256505576208,0.8384517845,10.0,isolated,2.69,23.8135300305,23813.53,23813.53,23.8135300305,0.1,0.6861093708127131,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Uptrend,OK,2025-07-27 07:22 PM CST,0.0,1.46603294519825,1.0,0.01,🔴 Neither set,⚠️ No Stop Loss
Kraken,AVAX/USD,Rotation,42.55488364219539,26.1,1.0,Cross,285.60726011,-4699.634232476284,-469963.42,-469963.42,-4699.634232476284,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Downtrend,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,BERA/USD,Rotation,10.08432253258517,2.301,1.0,Cross,146.87369,-1143.1653008209294,-114316.53,-114316.53,-1143.1653008209294,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Downtrend,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,FORTH/USD,Rotation,6.965909785786197,2.899,1.0,Cross,620.36680619,-2522.97583487104,-252297.58,-252297.58,-2522.97583487104,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Downtrend,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,JUP/USD,Rotation,0.9658169116737206,0.61829,1.0,Cross,1057.09205,-367.3679354913423,-36736.79,-36736.79,-367.3679354913423,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Downtrend,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,LSK/USD,Rotation,0,0.490909,1.0,Cross,0.1207,0,0.0,0.0,0.0,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Sideways,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,SC/USD,Rotation,0,0.003455,1.0,Cross,122.04511,0,0.0,0.0,0.0,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Sideways,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,STX/USD,Rotation,1.3240728328144935,0.854,1.0,Cross,4636.79226,-2179.6300728305177,-217963.01,-217963.01,-2179.6300728305177,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Downtrend,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
Kraken,SUPER/USD,Rotation,1.2117790224382556,0.8563,1.0,Cross,363.79235664,-129.32055130889646,-12932.06,-12932.06,-129.32055130889646,1.0,0.0,LONG,0.0,0.0,0.0,0.0,❌,❌,0,0,N/A,Downtrend,OK,2025-07-27 10:37 PM CST,0.0,0.0,1.0,0.1,🔴 Neither set,⚠️ No Stop Loss
